temporada;data_jogo;rodada;time_casa;time_fora;gols_casa;gols_fora;placar;resultado
2012;2012-05-19 18:30:00;1;Palmeiras-SP;Portuguesa-SP;1;1;1-1;Empate
2012;2012-05-19 18:30:00;1;Sport-PE;Flamengo-RJ;1;1;1-1;Empate
2012;2012-05-19 21:00:00;1;Figueirense-SC;Nautico-PE;2;1;2-1;Vitória Casa
2012;2012-05-20 16:00:00;1;Ponte Preta-SP;Atletico-MG;0;1;0-1;Vitória Fora
2012;2012-05-20 16:00:00;1;Corinthians-SP;Fluminense-RJ;0;1;0-1;Vitória Fora
2012;2012-05-20 16:00:00;1;Botafogo-RJ;Sao Paulo-SP;4;2;4-2;Vitória Casa
2012;2012-05-20 16:00:00;1;Internacional-RS;Coritiba-PR;2;0;2-0;Vitória Casa
2012;2012-05-20 18:30:00;1;Vasco da Gama-RJ;Gremio-RS;2;1;2-1;Vitória Casa
2012;2012-05-20 18:30:00;1;Bahia-BA;Santos-SP;0;0;0-0;Empate
2012;2012-05-20 18:30:00;1;Cruzeiro-MG;Atletico-GO;0;0;0-0;Empate
2012;2012-05-26 18:30:00;2;Atletico-GO;Ponte Preta-SP;1;1;1-1;Empate
2012;2012-05-26 18:30:00;2;Flamengo-RJ;Internacional-RS;3;3;3-3;Empate
2012;2012-05-26 18:30:00;2;Portuguesa-SP;Vasco da Gama-RJ;0;1;0-1;Vitória Fora
2012;2012-05-26 21:00:00;2;Nautico-PE;Cruzeiro-MG;0;0;0-0;Empate
2012;2012-05-27 16:00:00;2;Santos-SP;Sport-PE;0;0;0-0;Empate
2012;2012-05-27 16:00:00;2;Atletico-MG;Corinthians-SP;1;0;1-0;Vitória Casa
2012;2012-05-27 16:00:00;2;Coritiba-PR;Botafogo-RJ;2;3;2-3;Vitória Fora
2012;2012-05-27 16:00:00;2;Sao Paulo-SP;Bahia-BA;1;0;1-0;Vitória Casa
2012;2012-05-27 18:30:00;2;Gremio-RS;Palmeiras-SP;1;0;1-0;Vitória Casa
2012;2012-05-27 18:30:00;2;Fluminense-RJ;Figueirense-SC;2;2;2-2;Empate
2012;2012-06-06 19:30:00;3;Atletico-GO;Gremio-RS;0;1;0-1;Vitória Fora
2012;2012-06-06 19:30:00;3;Sport-PE;Palmeiras-SP;2;1;2-1;Vitória Casa
2012;2012-06-06 20:30:00;3;Vasco da Gama-RJ;Nautico-PE;4;2;4-2;Vitória Casa
2012;2012-06-06 20:30:00;3;Atletico-MG;Bahia-BA;1;1;1-1;Empate
2012;2012-06-06 20:30:00;3;Coritiba-PR;Portuguesa-SP;2;0;2-0;Vitória Casa
2012;2012-06-06 21:50:00;3;Ponte Preta-SP;Flamengo-RJ;2;2;2-2;Empate
2012;2012-06-06 21:50:00;3;Internacional-RS;Sao Paulo-SP;1;0;1-0;Vitória Casa
2012;2012-06-06 21:50:00;3;Santos-SP;Fluminense-RJ;1;1;1-1;Empate
2012;2012-06-07 21:00:00;3;Corinthians-SP;Figueirense-SC;1;1;1-1;Empate
2012;2012-06-07 21:00:00;3;Botafogo-RJ;Cruzeiro-MG;2;3;2-3;Vitória Fora
2012;2012-06-09 18:30:00;4;Flamengo-RJ;Coritiba-PR;3;1;3-1;Vitória Casa
2012;2012-06-09 21:00:00;4;Palmeiras-SP;Atletico-MG;0;1;0-1;Vitória Fora
2012;2012-06-10 16:00:00;4;Portuguesa-SP;Atletico-GO;2;0;2-0;Vitória Casa
2012;2012-06-10 17:00:00;4;Gremio-RS;Corinthians-SP;2;0;2-0;Vitória Casa
2012;2012-06-10 17:00:00;4;Fluminense-RJ;Internacional-RS;0;0;0-0;Empate
2012;2012-06-10 17:00:00;4;Bahia-BA;Vasco da Gama-RJ;1;2;1-2;Vitória Fora
2012;2012-06-10 18:30:00;4;Nautico-PE;Botafogo-RJ;3;2;3-2;Vitória Casa
2012;2012-06-10 18:30:00;4;Figueirense-SC;Ponte Preta-SP;0;0;0-0;Empate
2012;2012-06-10 18:30:00;4;Cruzeiro-MG;Sport-PE;1;0;1-0;Vitória Casa
2012;2012-06-10 18:30:00;4;Sao Paulo-SP;Santos-SP;1;0;1-0;Vitória Casa
2012;2012-06-16 18:30:00;5;Internacional-RS;Botafogo-RJ;1;2;1-2;Vitória Fora
2012;2012-06-16 18:30:00;5;Cruzeiro-MG;Figueirense-SC;1;0;1-0;Vitória Casa
2012;2012-06-16 21:00:00;5;Fluminense-RJ;Portuguesa-SP;4;1;4-1;Vitória Casa
2012;2012-06-17 16:00:00;5;Sao Paulo-SP;Atletico-MG;1;0;1-0;Vitória Casa
2012;2012-06-17 16:00:00;5;Palmeiras-SP;Vasco da Gama-RJ;1;1;1-1;Empate
2012;2012-06-17 16:00:00;5;Bahia-BA;Sport-PE;2;1;2-1;Vitória Casa
2012;2012-06-17 16:00:00;5;Flamengo-RJ;Santos-SP;1;0;1-0;Vitória Casa
2012;2012-06-17 18:30:00;5;Nautico-PE;Gremio-RS;1;0;1-0;Vitória Casa
2012;2012-06-17 18:30:00;5;Coritiba-PR;Atletico-GO;3;0;3-0;Vitória Casa
2012;2012-06-17 18:30:00;5;Ponte Preta-SP;Corinthians-SP;1;0;1-0;Vitória Casa
2012;2012-06-23 18:30:00;6;Vasco da Gama-RJ;Cruzeiro-MG;1;3;1-3;Vitória Fora
2012;2012-06-23 18:30:00;6;Portuguesa-SP;Sao Paulo-SP;1;0;1-0;Vitória Casa
2012;2012-06-23 21:00:00;6;Atletico-MG;Nautico-PE;5;1;5-1;Vitória Casa
2012;2012-06-24 16:00:00;6;Corinthians-SP;Palmeiras-SP;2;1;2-1;Vitória Casa
2012;2012-06-24 16:00:00;6;Gremio-RS;Flamengo-RJ;2;0;2-0;Vitória Casa
2012;2012-06-24 16:00:00;6;Figueirense-SC;Bahia-BA;1;1;1-1;Empate
2012;2012-06-24 18:30:00;6;Sport-PE;Internacional-RS;0;2;0-2;Vitória Fora
2012;2012-06-24 18:30:00;6;Botafogo-RJ;Ponte Preta-SP;1;2;1-2;Vitória Fora
2012;2012-06-24 18:30:00;6;Santos-SP;Coritiba-PR;2;2;2-2;Empate
2012;2012-06-24 18:30:00;6;Atletico-GO;Fluminense-RJ;1;4;1-4;Vitória Fora
2012;2012-06-30 16:20:00;7;Nautico-PE;Fluminense-RJ;0;2;0-2;Vitória Fora
2012;2012-06-30 16:20:00;7;Cruzeiro-MG;Sao Paulo-SP;2;3;2-3;Vitória Fora
2012;2012-06-30 18:30:00;7;Vasco da Gama-RJ;Ponte Preta-SP;3;2;3-2;Vitória Casa
2012;2012-07-01 16:00:00;7;Coritiba-PR;Sport-PE;2;3;2-3;Vitória Fora
2012;2012-07-01 16:00:00;7;Portuguesa-SP;Santos-SP;0;0;0-0;Empate
2012;2012-07-01 16:00:00;7;Bahia-BA;Internacional-RS;1;1;1-1;Empate
2012;2012-07-01 18:30:00;7;Gremio-RS;Atletico-MG;0;1;0-1;Vitória Fora
2012;2012-07-01 18:30:00;7;Palmeiras-SP;Figueirense-SC;3;1;3-1;Vitória Casa
2012;2012-07-01 18:30:00;7;Flamengo-RJ;Atletico-GO;3;2;3-2;Vitória Casa
2012;2012-07-11 19:30:00;7;Corinthians-SP;Botafogo-RJ;1;3;1-3;Vitória Fora
2012;2012-07-07 18:30:00;8;Botafogo-RJ;Bahia-BA;3;0;3-0;Vitória Casa
2012;2012-07-07 18:30:00;8;Internacional-RS;Cruzeiro-MG;2;1;2-1;Vitória Casa
2012;2012-07-07 21:00:00;8;Atletico-GO;Nautico-PE;0;1;0-1;Vitória Fora
2012;2012-07-08 16:00:00;8;Figueirense-SC;Vasco da Gama-RJ;1;1;1-1;Empate
2012;2012-07-08 16:00:00;8;Fluminense-RJ;Flamengo-RJ;1;0;1-0;Vitória Casa
2012;2012-07-08 16:00:00;8;Santos-SP;Gremio-RS;4;2;4-2;Vitória Casa
2012;2012-07-08 16:00:00;8;Sao Paulo-SP;Coritiba-PR;3;1;3-1;Vitória Casa
2012;2012-07-08 18:30:00;8;Ponte Preta-SP;Palmeiras-SP;1;0;1-0;Vitória Casa
2012;2012-07-08 18:30:00;8;Sport-PE;Corinthians-SP;1;1;1-1;Empate
2012;2012-07-08 18:30:00;8;Atletico-MG;Portuguesa-SP;2;0;2-0;Vitória Casa
2012;2012-07-14 18:30:00;9;Figueirense-SC;Atletico-MG;3;4;3-4;Vitória Fora
2012;2012-07-14 18:30:00;9;Corinthians-SP;Nautico-PE;2;1;2-1;Vitória Casa
2012;2012-07-14 21:00:00;9;Ponte Preta-SP;Coritiba-PR;4;1;4-1;Vitória Casa
2012;2012-07-15 16:00:00;9;Bahia-BA;Flamengo-RJ;1;2;1-2;Vitória Fora
2012;2012-07-15 16:00:00;9;Internacional-RS;Santos-SP;0;0;0-0;Empate
2012;2012-07-15 16:00:00;9;Cruzeiro-MG;Gremio-RS;1;3;1-3;Vitória Fora
2012;2012-07-15 16:00:00;9;Botafogo-RJ;Fluminense-RJ;1;1;1-1;Empate
2012;2012-07-15 18:30:00;9;Palmeiras-SP;Sao Paulo-SP;1;1;1-1;Empate
2012;2012-07-15 18:30:00;9;Vasco da Gama-RJ;Atletico-GO;1;0;1-0;Vitória Casa
2012;2012-07-15 18:30:00;9;Sport-PE;Portuguesa-SP;2;1;2-1;Vitória Casa
2012;2012-07-18 19:30:00;10;Santos-SP;Botafogo-RJ;0;0;0-0;Empate
2012;2012-07-18 19:30:00;10;Gremio-RS;Sport-PE;3;1;3-1;Vitória Casa
2012;2012-07-18 20:30:00;10;Portuguesa-SP;Cruzeiro-MG;0;2;0-2;Vitória Fora
2012;2012-07-18 20:30:00;10;Nautico-PE;Ponte Preta-SP;3;0;3-0;Vitória Casa
2012;2012-07-18 21:50:00;10;Sao Paulo-SP;Vasco da Gama-RJ;0;1;0-1;Vitória Fora
2012;2012-07-18 21:50:00;10;Atletico-MG;Internacional-RS;3;1;3-1;Vitória Casa
2012;2012-07-18 21:50:00;10;Flamengo-RJ;Corinthians-SP;0;3;0-3;Vitória Fora
2012;2012-07-19 21:00:00;10;Fluminense-RJ;Bahia-BA;4;0;4-0;Vitória Casa
2012;2012-07-19 21:00:00;10;Coritiba-PR;Palmeiras-SP;1;1;1-1;Empate
2012;2012-07-19 21:00:00;10;Atletico-GO;Figueirense-SC;3;2;3-2;Vitória Casa
2012;2012-07-21 18:30:00;11;Sport-PE;Atletico-MG;1;4;1-4;Vitória Fora
2012;2012-07-21 18:30:00;11;Vasco da Gama-RJ;Santos-SP;2;0;2-0;Vitória Casa
2012;2012-07-21 21:00:00;11;Corinthians-SP;Portuguesa-SP;1;1;1-1;Empate
2012;2012-07-22 16:00:00;11;Internacional-RS;Atletico-GO;4;1;4-1;Vitória Casa
2012;2012-07-22 16:00:00;11;Cruzeiro-MG;Flamengo-RJ;1;0;1-0;Vitória Casa
2012;2012-07-22 16:00:00;11;Figueirense-SC;Sao Paulo-SP;0;2;0-2;Vitória Fora
2012;2012-07-22 16:00:00;11;Palmeiras-SP;Nautico-PE;3;0;3-0;Vitória Casa
2012;2012-07-22 18:30:00;11;Bahia-BA;Coritiba-PR;2;2;2-2;Empate
2012;2012-07-22 18:30:00;11;Botafogo-RJ;Gremio-RS;0;1;0-1;Vitória Fora
2012;2012-07-22 18:30:00;11;Ponte Preta-SP;Fluminense-RJ;1;2;1-2;Vitória Fora
2012;2012-07-25 19:30:00;12;Figueirense-SC;Internacional-RS;0;1;0-1;Vitória Fora
2012;2012-07-25 19:30:00;12;Ponte Preta-SP;Sport-PE;1;1;1-1;Empate
2012;2012-07-25 20:30:00;12;Vasco da Gama-RJ;Botafogo-RJ;1;0;1-0;Vitória Casa
2012;2012-07-25 20:30:00;12;Nautico-PE;Coritiba-PR;3;4;3-4;Vitória Fora
2012;2012-07-25 21:50:00;12;Corinthians-SP;Cruzeiro-MG;2;0;2-0;Vitória Casa
2012;2012-07-25 21:50:00;12;Gremio-RS;Fluminense-RJ;1;0;1-0;Vitória Casa
2012;2012-07-25 21:50:00;12;Atletico-GO;Sao Paulo-SP;4;3;4-3;Vitória Casa
2012;2012-07-26 21:00:00;12;Atletico-MG;Santos-SP;2;0;2-0;Vitória Casa
2012;2012-07-26 21:00:00;12;Flamengo-RJ;Portuguesa-SP;0;0;0-0;Empate
