time;total_jogos;qtde_temporadas_disputadas;total_vitorias_casa;total_empates_casa;total_derrotas_casa;total_gols_marcados_casa;total_gols_sofridos_casa;total_vitorias_fora;total_empates_fora;total_derrotas_fora;total_gols_marcados_fora;total_gols_sofridos_fora;total_gols_marcados;total_gols_sofridos;total_pontos;aproveitamento_final_%
America-MG;114;3;24;16;17;57;48;6;15;36;37;94;94;142;121;35.38
Atletico-GO;151;4;20;27;28;78;88;20;19;37;68;116;146;204;166;36.64
Atletico-MG;379;10;125;35;30;355;173;55;60;74;219;257;574;430;635;55.85
Atletico-PR;342;9;98;39;34;262;136;42;39;90;156;228;418;364;498;48.54
Avai-SC;114;3;14;23;20;51;70;10;10;37;34;100;85;170;105;30.7
Bahia-BA;304;8;62;46;44;189;150;30;44;78;139;221;328;371;366;40.13
Botafogo-RJ;304;8;69;36;47;203;158;34;38;80;132;215;335;373;383;42.0
Ceara-CE;152;4;32;26;18;87;69;13;24;39;74;99;161;168;185;40.57
Chapecoense-SC;265;7;48;37;47;149;142;22;40;71;112;217;261;359;287;36.1
Corinthians-SP;380;10;105;62;23;279;141;53;56;81;178;204;457;345;592;51.93
Coritiba-PR;266;7;57;38;38;164;117;21;35;77;118;222;282;339;307;38.47
Criciuma-SC;76;2;15;9;14;45;45;5;9;24;32;74;77;119;78;34.21
Cruzeiro-MG;304;8;80;42;30;237;140;47;37;68;154;189;391;329;460;50.44
Csa-AL;38;1;6;5;8;17;24;2;3;14;7;34;24;58;32;28.07
Cuiaba-MT;38;1;7;6;6;18;20;3;11;5;16;17;34;37;47;41.23
Figueirense-SC;152;4;26;26;24;86;82;13;14;49;56;137;142;219;157;34.43
Flamengo-RJ;379;10;111;43;36;321;172;68;51;70;235;241;556;413;631;55.5
Fluminense-RJ;380;10;92;54;44;270;181;54;45;91;193;260;463;441;537;47.11
Fortaleza-CE;114;3;30;12;15;72;51;12;14;31;56;87;128;138;152;44.44
Goias-GO;190;5;44;22;29;129;98;19;22;54;83;162;212;260;233;40.88
Gremio-RS;380;10;114;43;33;298;148;56;60;74;193;213;491;361;613;53.77
Internacional-RS;342;9;99;40;32;267;147;41;56;74;155;210;422;357;516;50.29
Joinville-SC;38;1;6;7;6;19;17;1;3;15;7;31;26;48;31;27.19
Juventude-RS;38;1;9;6;4;19;15;2;7;10;17;29;36;44;46;40.35
Nautico-PE;76;2;16;6;16;45;48;3;6;29;21;82;66;130;69;30.26
Palmeiras-SP;342;9;97;37;37;294;164;60;40;71;196;215;490;379;548;53.41
Parana-PR;38;1;3;10;6;13;23;1;1;17;5;34;18;57;23;20.18
Ponte Preta-SP;190;5;46;20;29;122;94;13;31;51;78;149;200;243;228;40.0
Portuguesa-SP;76;2;16;15;7;57;31;6;12;20;32;56;89;87;93;40.79
Red Bull Bragantino-SP;76;2;17;14;7;62;39;10;14;14;43;47;105;86;109;47.81
Santa Cruz-PE;38;1;7;2;10;27;27;1;5;13;18;42;45;69;31;27.19
Santos-SP;380;10;111;51;28;321;151;48;55;87;175;238;496;389;583;51.14
Sao Paulo-SP;380;10;101;60;29;280;149;60;47;83;197;244;477;393;590;51.75
Sport-PE;304;8;68;44;40;189;146;28;34;90;124;251;313;397;366;40.13
Vasco da Gama-RJ;266;7;53;38;42;158;161;31;42;60;122;194;280;355;332;41.6
Vitoria-BA;190;5;35;25;35;129;121;23;23;49;104;160;233;281;222;38.95
