temporada;data_jogo;fase;time_casa;time_fora;gols_casa;gols_fora;placar;resultado
2013;2013-02-12 20:15:00;fase de grupos;Nacional (URU);Barcelona-EQU;2;2;2-2;Empate
2013;2013-02-13 22:00:00;fase de grupos;Boca Juniors;Toluca;1;2;1-2;Vitória Fora
2013;2013-02-19 23:45:00;fase de grupos;Toluca;Nacional (URU);2;3;2-3;Vitória Fora
2013;2013-02-27 19:45:00;fase de grupos;Barcelona-EQU;Boca Juniors;1;2;1-2;Vitória Fora
2013;2013-03-07 00:15:00;fase de grupos;Toluca;Barcelona-EQU;1;1;1-1;Empate
2013;2013-03-07 21:30:00;fase de grupos;Boca Juniors;Nacional (URU);0;1;0-1;Vitória Fora
2013;2013-03-13 19:45:00;fase de grupos;Barcelona-EQU;Toluca;0;0;0-0;Empate
2013;2013-03-14 19:15:00;fase de grupos;Nacional (URU);Boca Juniors;0;1;0-1;Vitória Fora
2013;2013-04-03 19:45:00;fase de grupos;Boca Juniors;Barcelona-EQU;1;0;1-0;Vitória Casa
2013;2013-04-04 19:15:00;fase de grupos;Nacional (URU);Toluca;4;0;4-0;Vitória Casa
2013;2013-04-17 19:45:00;fase de grupos;Barcelona-EQU;Nacional (URU);1;0;1-0;Vitória Casa
2013;2013-04-17 19:45:00;fase de grupos;Toluca;Boca Juniors;3;2;3-2;Vitória Casa
2013;2013-02-14 22:00:00;fase de grupos;Palmeiras;Sporting Cristal;2;1;2-1;Vitória Casa
2013;2013-02-21 21:30:00;fase de grupos;Tigre;Libertad;0;2;0-2;Vitória Fora
2013;2013-02-28 17:00:00;fase de grupos;Sporting Cristal;Tigre;2;0;2-0;Vitória Casa
2013;2013-02-28 19:15:00;fase de grupos;Libertad;Palmeiras;2;0;2-0;Vitória Casa
2013;2013-03-06 19:45:00;fase de grupos;Libertad;Sporting Cristal;2;2;2-2;Empate
2013;2013-03-06 19:45:00;fase de grupos;Tigre;Palmeiras;1;0;1-0;Vitória Casa
2013;2013-03-12 19:15:00;fase de grupos;Sporting Cristal;Libertad;1;1;1-1;Empate
2013;2013-04-02 21:30:00;fase de grupos;Palmeiras;Tigre;2;0;2-0;Vitória Casa
2013;2013-04-09 21:30:00;fase de grupos;Tigre;Sporting Cristal;3;1;3-1;Vitória Casa
2013;2013-04-11 19:15:00;fase de grupos;Palmeiras;Libertad;1;0;1-0;Vitória Casa
2013;2013-04-18 19:45:00;fase de grupos;Libertad;Tigre;3;5;3-5;Vitória Fora
2013;2013-04-18 19:45:00;fase de grupos;Sporting Cristal;Palmeiras;1;0;1-0;Vitória Casa
2013;2013-02-13 22:00:00;fase de grupos;Atlético-MG;São Paulo;2;1;2-1;Vitória Casa
2013;2013-02-14 22:00:00;fase de grupos;The Strongest;Arsenal Sarandí;2;1;2-1;Vitória Casa
2013;2013-02-26 21:45:00;fase de grupos;Arsenal Sarandí;Atlético-MG;2;5;2-5;Vitória Fora
2013;2013-02-28 21:30:00;fase de grupos;São Paulo;The Strongest;2;1;2-1;Vitória Casa
2013;2013-03-07 19:15:00;fase de grupos;São Paulo;Arsenal Sarandí;1;1;1-1;Empate
2013;2013-03-07 21:30:00;fase de grupos;Atlético-MG;The Strongest;2;1;2-1;Vitória Casa
2013;2013-03-13 22:00:00;fase de grupos;The Strongest;Atlético-MG;1;2;1-2;Vitória Fora
2013;2013-03-14 21:30:00;fase de grupos;Arsenal Sarandí;São Paulo;2;1;2-1;Vitória Casa
2013;2013-04-03 22:00:00;fase de grupos;Atlético-MG;Arsenal Sarandí;5;2;5-2;Vitória Casa
2013;2013-04-04 21:30:00;fase de grupos;The Strongest;São Paulo;2;1;2-1;Vitória Casa
2013;2013-04-17 22:00:00;fase de grupos;Arsenal Sarandí;The Strongest;2;1;2-1;Vitória Casa
2013;2013-04-17 22:00:00;fase de grupos;São Paulo;Atlético-MG;2;0;2-0;Vitória Casa
2013;2013-02-12 22:30:00;fase de grupos;Emelec;Vélez Sarsfield;1;0;1-0;Vitória Casa
2013;2013-02-13 19:30:00;fase de grupos;Deportes Iquique;Peñarol;1;2;1-2;Vitória Fora
2013;2013-02-19 19:15:00;fase de grupos;Peñarol;Emelec;1;0;1-0;Vitória Casa
2013;2013-02-20 19:45:00;fase de grupos;Vélez Sarsfield;Deportes Iquique;3;0;3-0;Vitória Casa
2013;2013-02-26 19:30:00;fase de grupos;Peñarol;Vélez Sarsfield;0;1;0-1;Vitória Fora
2013;2013-02-27 19:45:00;fase de grupos;Deportes Iquique;Emelec;2;0;2-0;Vitória Casa
2013;2013-03-05 23:45:00;fase de grupos;Emelec;Deportes Iquique;2;1;2-1;Vitória Casa
2013;2013-03-12 19:15:00;fase de grupos;Vélez Sarsfield;Peñarol;3;1;3-1;Vitória Casa
2013;2013-04-02 19:15:00;fase de grupos;Deportes Iquique;Vélez Sarsfield;1;3;1-3;Vitória Fora
2013;2013-04-02 23:45:00;fase de grupos;Emelec;Peñarol;2;0;2-0;Vitória Casa
2013;2013-04-09 19:15:00;fase de grupos;Peñarol;Deportes Iquique;3;0;3-0;Vitória Casa
2013;2013-04-09 19:15:00;fase de grupos;Vélez Sarsfield;Emelec;0;0;0-0;Empate
2013;2013-02-19 21:30:00;fase de grupos;Millonarios;Tijuana;0;1;0-1;Vitória Fora
2013;2013-02-20 22:00:00;fase de grupos;San José;Corinthians;1;1;1-1;Empate
2013;2013-02-27 00:15:00;fase de grupos;Tijuana;San José;4;0;4-0;Vitória Casa
2013;2013-02-27 22:00:00;fase de grupos;Corinthians;Millonarios;2;0;2-0;Vitória Casa
2013;2013-03-05 21:30:00;fase de grupos;Millonarios;San José;2;1;2-1;Vitória Casa
2013;2013-03-06 22:00:00;fase de grupos;Tijuana;Corinthians;1;0;1-0;Vitória Casa
2013;2013-03-13 22:00:00;fase de grupos;Corinthians;Tijuana;3;0;3-0;Vitória Casa
2013;2013-03-14 21:30:00;fase de grupos;San José;Millonarios;2;0;2-0;Vitória Casa
2013;2013-04-03 19:45:00;fase de grupos;San José;Tijuana;1;1;1-1;Empate
2013;2013-04-03 22:00:00;fase de grupos;Millonarios;Corinthians;0;1;0-1;Vitória Fora
2013;2013-04-10 22:00:00;fase de grupos;Corinthians;San José;3;0;3-0;Vitória Casa
2013;2013-04-10 22:00:00;fase de grupos;Tijuana;Millonarios;1;0;1-0;Vitória Casa
2013;2013-02-14 00:15:00;fase de grupos;Real Atlético;Ind. Santa Fe;1;1;1-1;Empate
2013;2013-02-15 00:15:00;fase de grupos;Deportes Tolima;Cerro Porteño;2;1;2-1;Vitória Casa
2013;2013-02-21 19:15:00;fase de grupos;Cerro Porteño;Real Atlético;0;1;0-1;Vitória Fora
2013;2013-02-21 21:30:00;fase de grupos;Ind. Santa Fe;Deportes Tolima;1;1;1-1;Empate
2013;2013-02-26 21:45:00;fase de grupos;Deportes Tolima;Real Atlético;0;1;0-1;Vitória Fora
2013;2013-03-07 19:15:00;fase de grupos;Cerro Porteño;Ind. Santa Fe;1;2;1-2;Vitória Fora
2013;2013-04-02 19:15:00;fase de grupos;Real Atlético;Deportes Tolima;0;3;0-3;Vitória Fora
2013;2013-04-02 21:30:00;fase de grupos;Ind. Santa Fe;Cerro Porteño;1;0;1-0;Vitória Casa
2013;2013-04-09 21:30:00;fase de grupos;Deportes Tolima;Ind. Santa Fe;1;2;1-2;Vitória Fora
2013;2013-04-10 19:45:00;fase de grupos;Real Atlético;Cerro Porteño;5;1;5-1;Vitória Casa
2013;2013-04-16 21:15:00;fase de grupos;Cerro Porteño;Deportes Tolima;0;0;0-0;Empate
2013;2013-04-16 21:15:00;fase de grupos;Ind. Santa Fe;Real Atlético;2;0;2-0;Vitória Casa
2013;2013-02-12 22:30:00;fase de grupos;Universidad de Chile;Deportivo Lara;2;0;2-0;Vitória Casa
2013;2013-02-14 19:45:00;fase de grupos;Newells Old Boys;Olimpia-PAR;3;1;3-1;Vitória Casa
2013;2013-02-19 21:30:00;fase de grupos;Olimpia-PAR;Universidad de Chile;3;0;3-0;Vitória Casa
2013;2013-02-21 19:15:00;fase de grupos;Deportivo Lara;Newells Old Boys;2;1;2-1;Vitória Casa
2013;2013-03-05 19:15:00;fase de grupos;Olimpia-PAR;Deportivo Lara;2;2;2-2;Empate
2013;2013-03-05 19:15:00;fase de grupos;Newells Old Boys;Universidad de Chile;1;2;1-2;Vitória Fora
2013;2013-03-12 21:30:00;fase de grupos;Universidad de Chile;Newells Old Boys;0;2;0-2;Vitória Fora
2013;2013-03-13 19:45:00;fase de grupos;Deportivo Lara;Olimpia-PAR;1;5;1-5;Vitória Fora
2013;2013-04-04 19:15:00;fase de grupos;Newells Old Boys;Deportivo Lara;3;1;3-1;Vitória Casa
2013;2013-04-04 21:30:00;fase de grupos;Universidad de Chile;Olimpia-PAR;0;1;0-1;Vitória Fora
2013;2013-04-11 21:30:00;fase de grupos;Deportivo Lara;Universidad de Chile;2;3;2-3;Vitória Fora
2013;2013-04-11 21:30:00;fase de grupos;Olimpia-PAR;Newells Old Boys;4;1;4-1;Vitória Casa
2013;2013-02-13 22:00:00;fase de grupos;Caracas;Fluminense;0;1;0-1;Vitória Fora
2013;2013-02-14 19:45:00;fase de grupos;Grêmio;Huachipato;1;2;1-2;Vitória Fora
2013;2013-02-20 19:45:00;fase de grupos;Huachipato;Caracas;1;3;1-3;Vitória Fora
2013;2013-02-20 22:00:00;fase de grupos;Fluminense;Grêmio;0;3;0-3;Vitória Fora
2013;2013-02-27 22:00:00;fase de grupos;Huachipato;Fluminense;1;2;1-2;Vitória Fora
2013;2013-03-05 21:30:00;fase de grupos;Grêmio;Caracas;4;1;4-1;Vitória Casa
2013;2013-03-06 22:00:00;fase de grupos;Fluminense;Huachipato;1;1;1-1;Empate
2013;2013-03-12 21:30:00;fase de grupos;Caracas;Grêmio;2;1;2-1;Vitória Casa
2013;2013-04-03 19:45:00;fase de grupos;Caracas;Huachipato;0;4;0-4;Vitória Fora
2013;2013-04-10 22:00:00;fase de grupos;Grêmio;Fluminense;0;0;0-0;Empate
2013;2013-04-18 22:00:00;fase de grupos;Huachipato;Grêmio;1;1;1-1;Empate
2013;2013-04-18 22:00:00;fase de grupos;Fluminense;Caracas;1;0;1-0;Vitória Casa
2013;2013-07-17 21:50:00;final;Olimpia-PAR;Atlético-MG;2;0;2-0;Vitória Casa
2013;2013-07-24 21:50:00;final;Atlético-MG;Olimpia-PAR;2;0;2-0;Vitória Casa
2013;2013-07-03 21:50:00;semifinal;Newells Old Boys;Atlético-MG;2;0;2-0;Vitória Casa
2013;2013-07-10 21:50:00;semifinal;Atlético-MG;Newells Old Boys;2;0;2-0;Vitória Casa
2013;2013-07-02 21:50:00;semifinal;Olimpia-PAR;Ind. Santa Fe;2;0;2-0;Vitória Casa
2013;2013-07-09 21:50:00;semifinal;Ind. Santa Fe;Olimpia-PAR;1;0;1-0;Vitória Casa
2013;2013-05-23 21:30:00;quarterfinals;Tijuana;Atlético-MG;2;2;2-2;Empate
2013;2013-05-30 22:00:00;quarterfinals;Atlético-MG;Tijuana;1;1;1-1;Empate
2013;2013-05-23 21:30:00;quarterfinals;Boca Juniors;Newells Old Boys;0;0;0-0;Empate
2013;2013-05-29 19:30:00;quarterfinals;Newells Old Boys;Boca Juniors;0;0;0-0;Empate
2013;2013-05-22 19:45:00;quarterfinals;Real Atlético;Ind. Santa Fe;1;3;1-3;Vitória Fora
2013;2013-05-28 22:00:00;quarterfinals;Ind. Santa Fe;Real Atlético;2;0;2-0;Vitória Casa
2013;2013-05-22 22:00:00;quarterfinals;Fluminense;Olimpia-PAR;0;0;0-0;Empate
2013;2013-05-29 22:00:00;quarterfinals;Olimpia-PAR;Fluminense;2;1;2-1;Vitória Casa
2013;2013-05-02 20:15:00;oitavas de final;São Paulo;Atlético-MG;1;2;1-2;Vitória Fora
2013;2013-05-08 22:00:00;oitavas de final;Atlético-MG;São Paulo;4;1;4-1;Vitória Casa
2013;2013-04-30 22:30:00;oitavas de final;Tijuana;Palmeiras;0;0;0-0;Empate
2013;2013-05-14 22:00:00;oitavas de final;Palmeiras;Tijuana;1;2;1-2;Vitória Fora
2013;2013-05-01 21:50:00;oitavas de final;Boca Juniors;Corinthians;1;0;1-0;Vitória Casa
2013;2013-05-15 22:00:00;oitavas de final;Corinthians;Boca Juniors;1;1;1-1;Empate
2013;2013-04-24 21:15:00;oitavas de final;Newells Old Boys;Vélez Sarsfield;0;1;0-1;Vitória Fora
2013;2013-05-15 19:15:00;oitavas de final;Vélez Sarsfield;Newells Old Boys;1;2;1-2;Vitória Fora
2013;2013-05-01 19:30:00;oitavas de final;Grêmio;Ind. Santa Fe;2;1;2-1;Vitória Casa
2013;2013-05-16 22:30:00;oitavas de final;Ind. Santa Fe;Grêmio;1;0;1-0;Vitória Casa
2013;2013-04-25 22:15:00;oitavas de final;Real Atlético;Nacional (URU);1;0;1-0;Vitória Casa
2013;2013-05-09 21:15:00;oitavas de final;Nacional (URU);Real Atlético;1;0;1-0;Vitória Casa
2013;2013-04-30 20:15:00;oitavas de final;Tigre;Olimpia-PAR;2;1;2-1;Vitória Casa
2013;2013-05-16 20:00:00;oitavas de final;Olimpia-PAR;Tigre;2;0;2-0;Vitória Casa
2013;2013-05-02 22:30:00;oitavas de final;Emelec;Fluminense;2;1;2-1;Vitória Casa
2013;2013-05-08 22:00:00;oitavas de final;Fluminense;Emelec;2;0;2-0;Vitória Casa
2014;2014-02-12 00:30:00;fase de grupos;Universitario (PER);Vélez Sarsfield;0;1;0-1;Vitória Fora
2014;2014-02-13 20:00:00;fase de grupos;Atlético-PR;The Strongest;1;0;1-0;Vitória Casa
2014;2014-02-20 21:15:00;fase de grupos;The Strongest;Universitario (PER);1;0;1-0;Vitória Casa
2014;2014-02-25 19:45:00;fase de grupos;Vélez Sarsfield;Atlético-PR;2;0;2-0;Vitória Casa
2014;2014-03-11 21:15:00;fase de grupos;The Strongest;Vélez Sarsfield;2;0;2-0;Vitória Casa
2014;2014-03-13 23:30:00;fase de grupos;Universitario (PER);Atlético-PR;0;1;0-1;Vitória Fora
2014;2014-03-18 22:00:00;fase de grupos;Vélez Sarsfield;The Strongest;2;0;2-0;Vitória Casa
2014;2014-03-20 17:30:00;fase de grupos;Atlético-PR;Universitario (PER);3;0;3-0;Vitória Casa
2014;2014-03-26 22:00:00;fase de grupos;Atlético-PR;Vélez Sarsfield;1;3;1-3;Vitória Fora
2014;2014-03-27 23:00:00;fase de grupos;Universitario (PER);The Strongest;3;3;3-3;Empate
2014;2014-04-08 19:45:00;fase de grupos;Vélez Sarsfield;Universitario (PER);1;0;1-0;Vitória Casa
2014;2014-04-08 19:45:00;fase de grupos;The Strongest;Atlético-PR;2;1;2-1;Vitória Casa
2014;2014-02-11 20:00:00;fase de grupos;Botafogo;San Lorenzo;2;0;2-0;Vitória Casa
2014;2014-02-18 22:30:00;fase de grupos;Independiente Del Valle;Unión Española;2;2;2-2;Empate
2014;2014-02-26 19:45:00;fase de grupos;Unión Española;Botafogo;1;1;1-1;Empate
2014;2014-02-27 19:30:00;fase de grupos;San Lorenzo;Independiente Del Valle;1;0;1-0;Vitória Casa
2014;2014-03-12 19:45:00;fase de grupos;Independiente Del Valle;Botafogo;2;1;2-1;Vitória Casa
2014;2014-03-12 19:45:00;fase de grupos;San Lorenzo;Unión Española;1;1;1-1;Empate
2014;2014-03-18 22:00:00;fase de grupos;Botafogo;Independiente Del Valle;1;0;1-0;Vitória Casa
2014;2014-03-20 22:00:00;fase de grupos;Unión Española;San Lorenzo;1;0;1-0;Vitória Casa
2014;2014-03-27 20:45:00;fase de grupos;Independiente Del Valle;San Lorenzo;1;1;1-1;Empate
2014;2014-04-02 19:45:00;fase de grupos;Botafogo;Unión Española;0;1;0-1;Vitória Fora
2014;2014-04-09 22:00:00;fase de grupos;Unión Española;Independiente Del Valle;4;5;4-5;Vitória Fora
2014;2014-04-09 22:00:00;fase de grupos;San Lorenzo;Botafogo;3;0;3-0;Vitória Casa
2014;2014-02-13 00:15:00;fase de grupos;Deportivo Cali;Cerro Porteño;1;0;1-0;Vitória Casa
2014;2014-02-13 22:15:00;fase de grupos;Lanús;O'Higgins;0;0;0-0;Empate
2014;2014-02-19 21:45:00;fase de grupos;O'Higgins;Deportivo Cali;1;0;1-0;Vitória Casa
2014;2014-02-26 19:45:00;fase de grupos;Cerro Porteño;Lanús;3;1;3-1;Vitória Casa
2014;2014-03-13 21:15:00;fase de grupos;O'Higgins;Cerro Porteño;2;2;2-2;Empate
