time;total_jogos;qtde_temporadas_disputadas;total_vitorias_casa;total_empates_casa;total_derrotas_casa;total_gols_marcados_casa;total_gols_sofridos_casa;total_vitorias_fora;total_empates_fora;total_derrotas_fora;total_gols_marcados_fora;total_gols_sofridos_fora;total_gols_marcados;total_gols_sofridos;aproveitamento_final_%
Alianza Lima;24;4;0;4;8;6;18;0;0;12;5;34;11;52;5.56
Always Ready;12;2;3;1;2;9;5;0;2;4;4;15;13;20;33.33
América de Cali;12;2;1;2;3;5;9;1;2;3;7;9;12;18;27.78
América-MG;6;1;0;0;3;3;7;0;2;1;3;6;6;13;11.11
Argentinos Juniors;8;1;2;0;2;3;3;2;1;1;5;3;8;6;54.17
Arsenal Sarandí;16;2;5;2;1;13;7;2;1;5;9;13;22;20;50.0
Athletico;29;4;10;3;1;23;4;2;3;10;12;25;35;29;48.28
Atlas;6;1;1;0;2;2;4;1;0;2;2;5;4;9;33.33
Atlético Nacional;52;8;16;5;5;45;21;9;5;12;26;28;71;49;54.49
Atlético Tucumán;16;2;5;1;2;11;7;1;1;6;6;16;17;23;41.67
Atlético-MG;76;12;25;9;4;77;29;13;12;13;42;42;119;71;59.21
Atlético-PR;14;2;3;1;3;11;12;3;0;4;7;9;18;21;45.24
Barcelona-EQU;42;7;7;4;10;22;28;7;5;9;20;26;42;54;40.48
Binacional;6;1;1;0;2;2;8;0;0;3;1;17;3;25;16.67
Boca Juniors;84;14;25;11;6;70;22;15;15;12;45;40;115;62;57.94
Bolívar;30;5;8;5;2;23;12;1;6;8;13;35;36;47;42.22
Botafogo;16;2;5;1;2;8;4;2;2;4;6;9;14;13;50.0
Caracas;18;3;3;3;3;6;10;2;1;6;12;22;18;32;35.19
Cerro Porteño;56;9;15;4;9;36;31;6;7;15;17;43;53;74;44.05
Chapecoense;6;1;1;1;1;4;5;1;0;2;2;7;6;12;38.89
Cobresal;6;1;1;0;2;3;3;0;0;3;1;11;4;14;16.67
Colo-Colo;34;5;8;2;7;17;17;4;4;9;14;30;31;47;41.18
Colón;8;1;3;0;1;6;5;0;2;2;3;6;9;11;45.83
Corinthians;42;7;12;5;4;35;11;6;7;8;18;19;53;30;52.38
Cruzeiro;38;6;9;7;3;35;13;9;3;7;21;15;56;28;56.14
Danubio;6;1;0;0;3;3;6;1;0;2;1;8;4;14;16.67
Defensa y Justicia;14;2;3;1;3;11;7;1;2;4;9;16;20;23;35.71
Defensor Sporting;18;3;6;2;1;15;5;2;1;6;7;11;22;16;50.0
Delfín;8;1;1;1;2;6;6;1;0;3;1;9;7;15;29.17
Delfín-EQU;6;1;1;1;1;3;3;1;0;2;3;6;6;9;38.89
Deportes Iquique;12;2;3;0;3;10;10;1;1;4;7;12;17;22;36.11
Deportes Tolima;12;2;2;2;2;8;8;2;2;2;6;5;14;13;44.44
Deportivo Anzoátegui;6;1;0;2;1;3;5;0;1;2;1;7;4;12;16.67
Deportivo Cali;18;3;4;5;0;12;5;0;1;8;8;25;20;30;33.33
Deportivo Lara;18;3;4;1;4;12;20;0;2;7;5;22;17;42;27.78
Deportivo Táchira;26;4;8;2;3;23;20;1;2;10;12;39;35;59;39.74
Emelec;60;10;15;6;9;47;29;6;5;19;24;45;71;74;41.11
Estudiantes;32;5;12;0;4;26;9;3;6;7;11;19;37;28;53.12
Estudiantes de Mérida;6;1;1;0;2;5;7;0;1;2;3;5;8;12;22.22
Flamengo;67;11;25;6;3;88;28;16;8;9;47;37;135;65;68.16
Fluminense;20;3;4;4;2;11;10;5;3;2;14;9;25;19;56.67
Fortaleza;8;1;1;2;1;5;5;2;0;2;6;8;11;13;45.83
Godoy Cruz;16;2;3;4;1;9;5;2;2;4;9;15;18;20;43.75
Grêmio;72;12;23;7;6;64;20;17;8;11;44;36;108;56;62.5
Guaraní (PAR);20;3;5;4;1;17;9;3;4;3;10;14;27;23;53.33
Guaraní-PAR;8;1;2;1;1;6;3;2;0;2;7;8;13;11;54.17
Huachipato;6;1;0;1;2;3;6;2;1;0;7;2;10;8;44.44
Huracán;20;3;3;4;3;14;11;1;4;5;6;16;20;27;33.33
Ind. Santa Fe;52;8;12;11;3;33;14;8;4;14;31;35;64;49;48.08
Independiente;10;1;3;1;1;6;1;1;2;2;4;6;10;7;50.0
Independiente Del Valle;6;1;1;2;0;5;4;1;0;2;5;6;10;10;44.44
Independiente Medellín;12;2;1;0;5;7;11;4;0;2;10;8;17;19;41.67
Independiente Petrolero;6;1;0;1;2;2;8;0;0;3;1;18;3;26;5.56
Independiente del Valle;34;5;10;6;1;34;11;4;3;10;15;28;49;39;50.0
Internacional;38;6;13;4;2;41;16;6;6;7;18;20;59;36;58.77
Jorge Wilstermann;24;4;8;1;3;25;15;1;3;8;5;27;30;42;43.06
Juan Aurich;6;1;1;1;1;7;6;0;2;1;2;5;9;11;33.33
Junior de Barranquilla;24;4;3;4;5;11;15;3;1;8;9;19;20;34;31.94
LDU;30;5;10;0;5;38;20;2;6;7;14;28;52;48;46.67
La Guaira;6;1;0;2;1;1;2;0;1;2;1;7;2;9;16.67
Lanús;24;4;8;2;2;23;7;3;3;6;10;13;33;20;52.78
León;8;1;2;1;1;7;4;1;2;1;6;6;13;10;50.0
Libertad;34;5;7;5;5;27;24;6;3;8;18;24;45;48;46.08
Libertad-PAR;18;3;5;2;2;17;13;2;2;5;7;12;24;25;46.3
Melgar;18;3;2;1;6;7;14;1;0;8;3;21;10;35;18.52
Millonarios;12;2;2;2;2;7;4;1;0;5;2;8;9;12;30.56
Mineros de Guaiana;6;1;1;0;2;3;3;0;1;2;2;7;5;10;22.22
Monagas;6;1;1;0;2;2;4;0;0;3;3;10;5;14;16.67
Montevideo Wanderers;8;1;2;1;1;5;6;1;1;2;6;5;11;11;45.83
Nacional (PAR);14;2;5;2;0;11;5;0;3;4;4;10;15;15;47.62
Nacional (URU);46;7;8;6;9;22;17;6;8;9;20;30;42;47;40.58
Nacional-URU;22;3;5;3;3;18;15;4;2;5;8;12;26;27;48.48
Newells Old Boys;18;3;4;2;3;15;9;3;2;4;10;12;25;21;46.3
O'Higgins;6;1;1;2;0;3;2;0;2;1;2;3;5;5;38.89
Olimpia-PAR;50;8;13;6;6;43;25;5;7;13;30;45;73;70;44.67
Palestino;12;2;2;1;3;8;6;2;1;3;5;7;13;13;38.89
Palmeiras;82;13;31;5;6;105;27;21;10;9;69;35;174;62;69.51
Peñarol;48;8;16;3;5;40;22;2;3;19;17;45;57;67;41.67
Pumas;10;1;5;0;0;16;5;2;0;3;6;7;22;12;70.0
Racing Club;44;7;13;5;4;38;19;7;9;6;27;23;65;42;56.06
Real Atlético;10;1;2;1;2;8;8;2;0;3;2;5;10;13;43.33
Real Garcilaso;12;2;2;2;2;5;5;0;1;5;1;15;6;20;25.0
Red Bull Bragantino;6;1;1;1;1;3;2;0;1;2;2;7;5;9;27.78
Rentistas ;6;1;0;3;0;2;2;0;0;3;0;7;2;9;16.67
River Plate;91;15;27;12;6;95;31;17;19;10;68;50;163;81;59.71
River Plate-URU;6;1;0;2;1;5;7;0;1;2;1;8;6;15;16.67
Rosario Central;16;2;4;4;0;16;8;3;0;5;9;13;25;21;52.08
San José;18;3;3;4;2;13;9;0;0;9;2;32;15;41;24.07
San Lorenzo;44;7;13;5;4;27;10;3;7;12;13;26;40;36;45.45
Santos;37;6;12;3;3;31;9;6;6;7;19;25;50;34;56.76
Santos Laguna;8;1;3;0;1;8;3;1;1;2;4;6;12;9;54.17
Sport Boys;6;1;0;1;2;5;11;0;1;2;3;8;8;19;11.11
Sporting Cristal;42;7;5;9;7;17;24;2;4;15;22;50;39;74;26.98
São Paulo;44;7;14;4;4;44;14;3;5;14;23;38;67;52;45.45
Talleres;10;1;2;2;1;5;4;2;1;2;6;6;11;10;50.0
The Strongest;52;8;16;6;4;48;24;1;4;21;11;58;59;82;39.1
Tigre;14;2;3;1;3;8;10;1;0;6;6;20;14;30;30.95
Tigres;14;2;4;3;0;15;4;3;1;3;10;12;25;16;59.52
Tijuana;10;1;3;2;0;8;2;2;2;1;5;6;13;8;63.33
Tolima;8;1;1;1;2;3;5;2;1;1;8;12;11;17;45.83
Toluca;14;2;5;1;1;15;9;2;2;3;5;12;20;21;57.14
Trujillanos (VEN);6;1;1;1;1;3;6;0;0;3;4;12;7;18;22.22
Universidad Católica;32;5;8;1;7;23;20;1;4;11;9;29;32;49;33.33
Universidad de Chile;24;4;4;2;6;8;14;4;1;7;14;31;22;45;37.5
Universidad de Concepción;6;1;1;2;0;8;7;0;1;2;1;4;9;11;33.33
Universitario (PER);6;1;0;1;2;3;5;0;0;3;0;5;3;10;5.56
Universitario de Sucre;8;1;1;2;1;3;2;1;2;1;3;4;6;6;41.67
Universitario-PER;6;1;1;1;1;6;6;0;0;3;0;13;6;19;22.22
Unión Española;8;1;1;1;2;6;7;1;3;0;4;3;10;10;41.67
Unión La Calera;6;1;0;2;1;4;6;0;0;3;4;11;8;17;11.11
Vasco;6;1;0;1;2;1;6;1;1;1;2;4;3;10;27.78
Vélez Sarsfield;36;6;11;3;4;33;20;8;3;7;20;21;53;41;58.33
Zamora;24;4;3;0;9;10;24;0;1;11;11;33;21;57;13.89
Zulia;6;1;0;2;1;2;3;1;0;2;2;7;4;10;27.78
